ticker,entry_date,exit_date,entry_price,exit_price,return_pct,hold_days,exit_reason
AAPL,2023-05-08,2023-08-03,172.48,191.17,10.64,60,MAX_HOLD
AAPL,2024-12-23,2025-01-10,254.77,236.94,-7.2,11,STOP_LOSS
AAPL,2025-09-22,2025-12-16,248.3,274.61,10.4,60,MAX_HOLD
AAPL,2026-05-04,2026-06-04,279.66,311.23,11.09,23,EOD
ADI,2025-08-22,2025-10-01,249.18,239.28,-4.17,27,SMA50_BREAK
ADI,2025-11-26,2026-02-25,255.22,360.8,41.17,60,MAX_HOLD
ADP,2024-11-07,2024-12-16,305.0,296.81,-2.89,26,SMA50_BREAK
ADSK,2024-11-07,2024-12-18,302.95,292.83,-3.54,28,SMA50_BREAK
ADSK,2025-09-02,2025-10-10,313.02,303.5,-3.24,28,SMA50_BREAK
AEP,2024-07-31,2024-10-04,98.92,100.28,1.17,46,SMA50_BREAK
AEP,2025-01-28,2025-04-07,102.47,101.57,-1.08,48,SMA50_BREAK
AEP,2025-10-30,2025-12-03,121.55,118.06,-3.07,23,SMA50_BREAK
AMAT,2024-01-22,2024-04-17,168.18,199.89,18.65,60,SMA50_BREAK
AMGN,2026-02-05,2026-03-18,365.73,351.48,-4.1,28,SMA50_BREAK
AMZN,2023-08-07,2023-08-25,140.99,131.12,-7.2,14,STOP_LOSS
AMZN,2024-06-27,2024-07-18,195.01,183.75,-5.97,14,SMA50_BREAK
AMZN,2024-11-04,2025-02-03,196.45,237.42,20.66,60,MAX_HOLD
ASML,2023-05-19,2023-07-20,698.0,676.13,-3.33,41,SMA50_BREAK
ASML,2024-01-23,2024-04-15,766.05,954.82,24.44,57,SMA50_BREAK
AVGO,2023-03-06,2023-04-26,63.5,61.62,-3.16,36,SMA50_BREAK
AVGO,2023-05-24,2023-08-09,68.14,85.07,24.64,52,SMA50_BREAK
AVGO,2023-11-13,2024-02-09,95.0,128.34,34.89,60,MAX_HOLD
AVGO,2026-06-01,2026-06-04,450.09,418.58,-7.2,3,STOP_LOSS
AXON,2024-02-08,2024-04-18,265.0,297.59,12.1,48,SMA50_BREAK
AXON,2024-09-23,2024-12-17,394.29,635.76,61.04,60,MAX_HOLD
AXON,2025-06-30,2025-07-02,818.75,761.44,-7.2,2,STOP_LOSS
AZN,2024-08-02,2024-09-09,163.2,161.78,-1.07,25,SMA50_BREAK
AZN,2025-10-02,2025-11-05,166.8,162.3,-2.9,24,SMA50_BREAK
BIIB,2023-05-01,2023-06-14,305.75,299.99,-2.08,31,SMA50_BREAK
BIIB,2026-04-30,2026-06-04,194.02,196.45,1.05,25,EOD
BKNG,2024-02-09,2024-02-23,148.0,140.24,-5.44,9,SMA50_BREAK
BKNG,2024-05-10,2024-07-24,151.34,152.23,0.39,50,SMA50_BREAK
BKNG,2024-10-31,2025-01-02,189.36,197.01,3.84,42,SMA50_BREAK
CDNS,2023-03-17,2023-04-26,206.78,203.61,-1.73,27,SMA50_BREAK
CDNS,2023-05-26,2023-08-02,226.26,228.74,0.9,45,SMA50_BREAK
CDNS,2024-01-22,2024-04-10,295.96,304.59,2.72,55,SMA50_BREAK
CDNS,2025-09-22,2025-09-29,370.0,348.52,-6.01,5,SMA50_BREAK
CDW,2023-01-18,2023-03-09,199.0,196.21,-1.6,35,SMA50_BREAK
CDW,2023-12-18,2024-01-05,225.0,214.04,-5.07,12,SMA50_BREAK
CDW,2024-02-08,2024-04-12,237.6,242.91,2.03,44,SMA50_BREAK
CEG,2023-08-04,2023-10-02,101.92,104.73,2.56,40,SMA50_BREAK
CMCSA,2023-07-28,2023-09-25,42.98,42.05,-2.36,40,SMA50_BREAK
CMCSA,2023-12-15,2024-01-17,41.81,39.69,-5.27,20,SMA50_BREAK
CMCSA,2024-01-26,2024-02-07,42.58,40.17,-5.86,8,SMA50_BREAK
COST,2024-03-08,2024-04-01,756.05,721.24,-4.8,15,SMA50_BREAK
COST,2024-11-11,2024-12-30,943.8,922.21,-2.49,33,SMA50_BREAK
COST,2025-06-02,2025-06-13,1034.27,990.21,-4.46,9,SMA50_BREAK
CPRT,2023-11-13,2024-01-02,48.46,47.51,-2.16,33,SMA50_BREAK
CPRT,2024-02-26,2024-04-17,51.06,54.02,5.6,36,SMA50_BREAK
CSCO,2023-08-18,2023-09-21,54.63,53.34,-2.56,23,SMA50_BREAK
CSCO,2025-02-14,2025-03-11,63.79,60.67,-5.09,16,SMA50_BREAK
CSCO,2025-06-24,2025-08-15,67.78,66.2,-2.53,37,SMA50_BREAK
CSCO,2025-10-09,2025-10-10,70.31,67.94,-3.57,1,SMA50_BREAK
CSCO,2025-11-14,2026-01-05,76.58,75.58,-1.51,33,SMA50_BREAK
CSCO,2026-02-04,2026-02-12,83.98,78.1,-7.2,6,STOP_LOSS
CSGP,2023-06-16,2023-07-26,84.59,84.38,-0.45,26,SMA50_BREAK
CSX,2024-02-23,2024-03-26,37.94,36.13,-4.97,22,SMA50_BREAK
CTAS,2023-03-30,2023-04-26,116.79,109.91,-6.09,18,SMA50_BREAK
CTAS,2023-12-22,2024-03-21,148.04,160.54,8.24,60,MAX_HOLD
