ticker,entry_date,exit_date,entry_price,exit_price,return_pct,hold_days,exit_reason
AAPL,2023-05-19,2023-08-04,176.39,181.99,2.97,52,SMA50_BREAK
AAPL,2023-12-14,2024-01-02,198.02,184.16,-7.2,11,STOP_LOSS
AAPL,2024-06-12,2024-08-05,207.37,209.27,0.72,36,SMA50_BREAK
AAPL,2024-12-03,2025-01-10,239.81,236.85,-1.43,25,SMA50_BREAK
AAPL,2025-10-21,2025-12-31,261.88,271.86,3.61,49,SMA50_BREAK
AAPL,2026-05-07,2026-06-04,289.27,311.23,7.39,20,EOD
ABNB,2023-07-24,2023-08-10,147.06,136.77,-7.2,13,STOP_LOSS
ABNB,2024-02-16,2024-04-15,156.1,155.6,-0.52,39,SMA50_BREAK
ADBE,2023-06-13,2023-09-08,489.71,560.36,14.23,60,MAX_HOLD
ADBE,2023-11-08,2024-01-02,589.0,580.07,-1.72,36,SMA50_BREAK
ADBE,2024-01-30,2024-02-13,630.0,601.89,-4.66,10,SMA50_BREAK
ADI,2023-02-03,2023-04-21,176.93,186.34,5.12,53,SMA50_BREAK
ADI,2023-12-15,2024-01-04,201.94,187.8,-7.2,12,STOP_LOSS
ADI,2024-01-24,2024-02-06,200.86,189.71,-5.75,9,SMA50_BREAK
ADI,2024-04-10,2024-04-12,200.38,192.27,-4.25,2,SMA50_BREAK
ADI,2024-05-16,2024-07-24,216.0,224.62,3.79,46,SMA50_BREAK
ADI,2025-08-27,2025-10-01,254.59,236.77,-7.2,24,STOP_LOSS
ADI,2025-12-02,2026-03-02,268.19,352.41,31.2,60,MAX_HOLD
ADI,2026-04-20,2026-06-04,373.02,428.76,14.74,33,EOD
ADP,2022-08-11,2022-09-13,252.65,234.96,-7.2,22,STOP_LOSS
ADP,2022-12-01,2022-12-15,267.06,248.37,-7.2,10,STOP_LOSS
ADP,2024-07-30,2024-10-23,256.14,290.04,13.03,60,MAX_HOLD
ADP,2024-10-31,2024-12-16,291.51,296.81,1.62,31,SMA50_BREAK
ADP,2025-02-26,2025-03-11,312.74,292.44,-6.69,9,SMA50_BREAK
ADP,2025-05-22,2025-06-13,322.6,306.82,-5.09,15,SMA50_BREAK
ADSK,2023-12-14,2024-03-05,235.36,247.29,4.87,54,SMA50_BREAK
ADSK,2024-10-16,2024-12-18,288.18,292.83,1.41,44,SMA50_BREAK
ADSK,2025-09-09,2025-10-10,326.69,303.82,-7.2,23,STOP_LOSS
AEP,2022-08-15,2022-09-20,103.78,99.76,-4.07,25,SMA50_BREAK
AEP,2024-07-18,2024-10-04,93.25,100.28,7.34,55,SMA50_BREAK
AEP,2025-02-24,2025-04-07,105.87,101.57,-4.26,30,SMA50_BREAK
AEP,2025-07-23,2025-09-04,110.25,108.64,-1.66,30,SMA50_BREAK
AEP,2025-10-07,2025-12-03,116.57,118.06,1.08,40,SMA50_BREAK
AEP,2026-02-17,2026-05-06,131.31,132.56,0.75,55,SMA50_BREAK
AMAT,2023-05-18,2023-07-20,125.81,134.04,6.34,42,SMA50_BREAK
AMAT,2023-07-31,2023-08-11,151.93,141.29,-7.2,9,STOP_LOSS
AMAT,2023-09-01,2023-09-12,154.5,143.97,-7.02,6,SMA50_BREAK
AMAT,2023-11-15,2023-11-17,154.97,144.12,-7.2,2,STOP_LOSS
AMAT,2023-12-15,2024-01-03,162.21,150.86,-7.2,11,STOP_LOSS
AMAT,2024-01-22,2024-04-17,168.18,199.89,18.65,60,SMA50_BREAK
AMAT,2024-05-16,2024-07-17,218.22,220.07,0.65,41,SMA50_BREAK
AMAT,2025-10-02,2025-10-08,225.0,209.25,-7.2,4,STOP_LOSS
AMAT,2025-12-03,2026-03-03,265.3,351.32,32.22,60,MAX_HOLD
AMAT,2026-05-07,2026-06-04,426.36,501.7,17.47,20,EOD
AMD,2023-05-26,2023-06-21,122.46,113.89,-7.2,16,STOP_LOSS
AMD,2023-12-12,2024-03-11,132.25,198.39,49.81,60,MAX_HOLD
AMD,2025-07-29,2025-08-06,175.21,162.95,-7.2,6,STOP_LOSS
AMD,2025-10-09,2025-10-10,236.3,219.76,-7.2,1,STOP_LOSS
AMD,2025-10-16,2025-11-19,236.29,219.75,-7.2,24,STOP_LOSS
AMD,2026-04-17,2026-06-04,281.0,523.2,85.99,34,EOD
AMGN,2022-10-25,2022-12-15,260.49,266.14,1.97,36,SMA50_BREAK
AMGN,2024-01-04,2024-02-09,301.5,291.12,-3.64,25,SMA50_BREAK
AMGN,2024-07-25,2024-08-07,335.99,312.47,-7.2,9,STOP_LOSS
AMGN,2025-11-12,2025-12-09,338.64,314.94,-7.2,18,STOP_LOSS
AMGN,2026-01-22,2026-03-18,344.15,351.48,1.93,38,SMA50_BREAK
AMZN,2023-09-12,2023-09-20,142.32,135.29,-5.14,6,SMA50_BREAK
AMZN,2023-11-15,2024-02-13,147.06,168.64,14.47,60,MAX_HOLD
AMZN,2024-02-23,2024-04-19,174.28,174.63,0.0,39,SMA50_BREAK
AMZN,2024-06-27,2024-07-18,195.01,183.75,-5.97,14,SMA50_BREAK
AMZN,2024-11-07,2025-02-06,207.44,238.83,14.93,60,MAX_HOLD
AMZN,2026-04-27,2026-06-04,263.46,253.79,-3.87,28,EOD
APP,2023-08-15,2023-10-13,39.69,38.52,-3.15,42,SMA50_BREAK
APP,2024-01-24,2024-01-30,45.42,42.24,-7.2,4,STOP_LOSS
APP,2024-02-08,2024-05-06,47.8,76.85,60.57,60,MAX_HOLD
APP,2024-09-03,2024-09-04,92.62,86.14,-7.2,1,STOP_LOSS
APP,2024-09-12,2024-12-06,97.35,401.5,312.23,60,MAX_HOLD
APP,2025-09-10,2025-10-21,562.83,552.64,-2.01,29,SMA50_BREAK
ARM,2026-04-23,2026-06-03,194.42,411.83,111.62,30,EOD
ASML,2023-05-19,2023-07-20,698.0,676.13,-3.33,41,SMA50_BREAK
ASML,2024-01-24,2024-04-15,826.86,954.82,15.28,56,SMA50_BREAK
ASML,2024-06-07,2024-07-17,1040.25,967.43,-7.2,26,STOP_LOSS
ASML,2025-09-16,2025-11-20,879.94,981.04,11.29,47,SMA50_BREAK
ASML,2025-12-02,2025-12-17,1089.61,1013.34,-7.2,11,STOP_LOSS
ASML,2026-01-05,2026-03-06,1211.22,1292.8,6.54,42,SMA50_BREAK
ASML,2026-05-07,2026-06-04,1548.74,1757.47,13.28,20,EOD
AVGO,2023-03-21,2023-04-26,64.31,61.62,-4.38,25,SMA50_BREAK
AVGO,2023-05-18,2023-08-09,65.6,85.07,29.48,56,SMA50_BREAK
AVGO,2023-09-01,2023-09-05,90.19,87.22,-3.49,1,SMA50_BREAK
AVGO,2023-11-13,2024-02-09,95.0,128.34,34.89,60,MAX_HOLD
AVGO,2024-02-23,2024-03-19,130.84,121.68,-7.2,17,STOP_LOSS
AVGO,2024-05-16,2024-05-31,142.6,132.62,-7.2,10,STOP_LOSS
AVGO,2024-06-11,2024-07-24,143.82,151.34,5.03,29,SMA50_BREAK
AVGO,2024-12-17,2024-12-18,240.65,223.8,-7.2,1,STOP_LOSS
AVGO,2025-06-04,2025-08-29,258.06,297.39,15.04,60,MAX_HOLD
AVGO,2025-09-11,2025-09-17,371.18,345.2,-7.2,4,STOP_LOSS
AVGO,2025-10-30,2025-11-04,386.4,359.35,-7.2,3,STOP_LOSS
AVGO,2025-11-26,2025-12-12,385.55,358.56,-7.2,11,STOP_LOSS
AVGO,2026-06-01,2026-06-04,450.09,418.58,-7.2,3,STOP_LOSS
AXON,2022-11-17,2022-12-06,189.1,175.86,-7.2,12,STOP_LOSS
